GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,LengthFG,Description,PlayType,Outcome,OutcomePts,FieldGoalMade
2019111400,2019-11-14,1,7,52,PIT,CLE,4,3,74,44,"(7:52) (FIELD GOAL FORMATION) 9-C.BOSWELL 44 YARD FIELD GOAL IS NO GOOD, WIDE LEFT, CENTER-57-K.CANADAY, HOLDER-4-J.BERRY.",FIELD GOAL,IS NO GOOD,0,0
2019111100,2019-11-11,4,1,49,SEA,SF,4,2,72,46,"(1:49) 5-J.MYERS 46 YARD FIELD GOAL IS GOOD, CENTER-69-T.OTT, HOLDER-4-M.DICKSON.",FIELD GOAL,IS GOOD,3,1
2019111100,2019-11-11,4,6,21,SF,SEA,4,8,79,39,"(6:21) 5-C.MCLAUGHLIN 39 YARD FIELD GOAL IS GOOD, CENTER-86-K.NELSON, HOLDER-6-M.WISHNOWSKY.",FIELD GOAL,IS GOOD,3,1
2019111400,2019-11-14,3,0,1,CLE,PIT,4,9,69,50,"(:01) 4-A.SEIBERT 50 YARD FIELD GOAL IS NO GOOD, WIDE RIGHT, CENTER-47-C.HUGHLETT, HOLDER-7-J.GILLAN.",FIELD GOAL,IS NO GOOD,0,0
2019111400,2019-11-14,2,2,36,CLE,PIT,4,7,73,45,"(2:36) (FIELD GOAL FORMATION) 4-A.SEIBERT 45 YARD FIELD GOAL IS NO GOOD, WIDE RIGHT, CENTER-47-C.HUGHLETT, HOLDER-7-J.GILLAN.",FIELD GOAL,IS NO GOOD,0,0
2019111700,2019-11-17,3,6,56,BAL,HOU,4,6,84,34,"(6:56) (FIELD GOAL FORMATION) 9-J.TUCKER 34 YARD FIELD GOAL IS GOOD, CENTER-46-M.COX, HOLDER-4-S.KOCH.",FIELD GOAL,IS GOOD,3,1
2019111700,2019-11-17,2,0,11,HOU,BAL,4,2,75,43,"(:11) (FIELD GOAL FORMATION) 7-K.FAIRBAIRN 43 YARD FIELD GOAL IS NO GOOD, WIDE RIGHT, CENTER-46-J.WEEKS, HOLDER-9-B.ANGER.",FIELD GOAL,IS NO GOOD,0,0
2019111705,2019-11-17,3,4,27,DEN,MIN,4,9,77,41,"(4:27) 8-B.MCMANUS 41 YARD FIELD GOAL IS GOOD, CENTER-42-C.KREITER, HOLDER-6-C.WADMAN.",FIELD GOAL,IS GOOD,3,1
2019111705,2019-11-17,2,1,10,DEN,MIN,4,4,89,29,"(1:10) 8-B.MCMANUS 29 YARD FIELD GOAL IS GOOD, CENTER-42-C.KREITER, HOLDER-6-C.WADMAN.",FIELD GOAL,IS GOOD,3,1
2019111702,2019-11-17,1,2,22,DAL,DET,4,12,88,30,"(2:22) 2-B.MAHER 30 YARD FIELD GOAL IS GOOD, CENTER-91-L.LADOUCEUR, HOLDER-6-C.JONES.",FIELD GOAL,IS GOOD,3,1
