name,TSID,turn_in_leg,pbt_start,n_throws,triple_seq,n_success,wonprevious
Simon Whitlock,329,2,441,3,1 1 0,2,1
Simon Whitlock,329,3,301,3,0 0 0,0,1
Simon Whitlock,329,4,254,3,0 0 0,0,1
Simon Whitlock,329,5,194,2,0 1,1,1
Simon Whitlock,330,1,501,3,0 1 1,2,0
Simon Whitlock,330,2,361,3,1 1 1,3,0
Simon Whitlock,330,3,181,1,0,0,0
Simon Whitlock,331,1,501,3,1 1 1,3,1
Simon Whitlock,331,2,321,3,0 0 0,0,1
Simon Whitlock,331,3,278,3,0 0 0,0,1
Simon Whitlock,331,4,218,3,0 0 0,0,1
Simon Whitlock,332,1,501,3,0 0 0,0,1
Simon Whitlock,332,2,441,3,0 0 0,0,1
Simon Whitlock,332,3,382,3,0 0 0,0,1
Simon Whitlock,332,4,324,3,0 0 1,1,1
Simon Whitlock,332,5,244,2,1 1,2,1
Simon Whitlock,333,1,501,3,0 0 1,1,1
Simon Whitlock,333,2,405,3,0 0 0,0,1
Simon Whitlock,333,3,362,3,1 0 1,2,1
Simon Whitlock,333,4,237,2,0 1,1,1
Simon Whitlock,334,1,501,3,0 1 1,2,0
Simon Whitlock,334,2,373,3,1 1 1,3,0
Simon Whitlock,334,3,193,1,0,0,0
Simon Whitlock,335,1,501,3,1 0 1,2,1
Simon Whitlock,335,2,366,3,1 0 0,1,1
Simon Whitlock,335,3,266,2,1 1,2,1
Simon Whitlock,336,1,501,3,0 0 0,0,0
Simon Whitlock,336,2,444,3,0 1 0,1,0
Simon Whitlock,336,3,344,3,0 0 0,0,0
Simon Whitlock,336,4,286,3,1 0 1,2,0
Simon Whitlock,337,1,501,3,0 1 0,1,1
Simon Whitlock,337,2,401,3,1 0 1,2,1
Simon Whitlock,337,3,261,2,1 1,2,1
Simon Whitlock,338,1,501,3,0 0 1,1,1
Simon Whitlock,338,2,408,3,0 1 0,1,1
Simon Whitlock,338,3,310,3,0 0 1,1,1
Simon Whitlock,338,4,210,1,1,1,1
Simon Whitlock,339,1,501,3,0 0 0,0,0
Simon Whitlock,339,2,460,3,0 1 1,2,0
Simon Whitlock,339,3,335,3,1 1 1,3,0
Simon Whitlock,340,1,501,3,0 0 0,0,0
Simon Whitlock,340,2,444,3,1 1 0,2,0
Simon Whitlock,340,3,305,3,1 1 1,3,0
Simon Whitlock,341,1,501,3,0 1 0,1,0
Simon Whitlock,341,2,401,3,1 1 0,2,0
Simon Whitlock,341,3,261,3,0 0 1,1,0
Simon Whitlock,342,1,501,3,1 0 1,2,0
Simon Whitlock,342,2,361,3,0 1 1,2,0
Simon Whitlock,342,3,221,3,0 0 0,0,0
Simon Whitlock,342,4,187,1,0,0,0
